Seconds,Battery Voltage (V),ON/OFF
Switchoff Voltage = 980mV
3795,5.64,1
3800,5.64,1
3805,5.62,1
3810,5.63,1
3815,5.63,1
3820,5.63,1
3825,5.6,1
3830,5.62,1
3835,5.65,1
3840,5.63,1
3845,5.63,1
3850,5.63,1
3855,5.6,1
3860,5.63,1
3865,5.62,1
3870,5.61,1
3875,5.62,1
3880,5.6,1
3885,5.61,1
3890,5.64,1
3895,5.63,1
3900,5.63,1
3905,5.63,1
3910,5.64,1
3915,5.64,1
3920,5.62,1
3925,5.63,1
3930,5.63,1
3935,5.65,1
3940,5.63,1
3945,5.62,1
3950,5.63,1
3955,5.62,1
3960,5.63,1
3965,5.63,1
3970,5.63,1
3975,5.62,1
3980,5.62,1
3985,5.61,1
3990,5.63,1
3995,5.64,1
4000,5.62,1
4005,5.6,1
4010,5.63,1
4015,5.62,1
4020,5.64,1
4025,5.63,1
4030,5.63,1
4035,5.63,1
4040,5.63,1
4045,5.63,1
4050,5.63,1
4055,5.62,1
4060,5.63,1
4065,5.63,1
4070,5.62,1
4075,5.61,1
4080,5.63,1
4085,5.63,1
4090,5.63,1
4095,5.64,1
4100,5.62,1
4105,5.64,1
4110,5.63,1
4115,5.62,1
4120,5.63,1
4125,5.63,1
4130,5.63,1
4135,5.63,1
4140,5.63,1
4145,5.62,1
4150,5.64,1
4155,5.63,1
4160,5.63,1
4165,5.63,1
4170,5.63,1
4175,5.64,1
4180,5.63,1
4185,5.61,1
4190,5.62,1
4195,5.62,1
4200,5.62,1
4205,5.62,1
4210,5.66,1
4215,5.63,1
4220,5.63,1
4225,5.63,1
4230,5.64,1
4235,5.63,1
4240,5.63,1
4245,5.63,1
4250,5.62,1
4255,5.61,1
4260,5.64,1
4265,5.64,1
4270,5.63,1
4275,5.63,1
4280,5.65,1
4285,5.63,1
4290,5.6,1
4295,5.62,1
4300,5.63,1
4305,5.63,1
4310,5.63,1
4315,5.63,1
4320,5.63,1
4325,5.63,1
4330,5.63,1
4335,5.63,1
4340,5.63,1
4345,5.62,1
4350,5.63,1
4355,5.63,1
4360,5.62,1
4365,5.63,1
4370,5.63,1
4375,5.64,1
4380,5.64,1
4385,5.63,1
4390,5.62,1
4395,5.62,1
4400,5.64,1
4405,5.63,1
4410,5.63,1
4415,5.62,1
